Time,Neck joint Bend Front/Back,Neck joint Twist Left/Right,Neck joint Lean Right/Left,Lumbar joint Bend Front/Back,Lumbar joint Twist Left/Right,Lumbar joint Lean Right/Left,Right shoulder Flex/Ext,Right shoulder Abd/Add,Right shoulder Int/Ext,Right elbow Flex/Ext,Right elbow Val/Var,Right elbow Int/Ext,Right wrist Abd/Add,Right wrist Flex/Ext,Right wrist Int/Ext,Right hip Flex/Ext,Right hip Abd/Add,Right hip Int/Ext,Right knee Flex/Ext,Right knee Varus/Valgus,Right knee Int/Ext,Right ankle Plantar/Dorsi,Right ankle Int/Ext,Right ankle Sup/Pro,Left shoulder Flex/Ext,Left shoulder Abd/Add,Left shoulder Int/Ext,Left elbow Flex/Ext,Left elbow Val/Var,Left elbow Int/Ext,Left wrist Abd/Add,Left wrist Flex/Ext,Left wrist Int/Ext,Left hip Flex/Ext,Left hip Abd/Add,Left hip Int/Ext,Left knee Flex/Ext,Left knee Varus/Valgus,Left knee Int/Ext,Left ankle Plantar/Dorsi,Left ankle Int/Ext,Left ankle Sup/Pro,
4,16.2292,9.2221,-3.5923,8.4251,-1.5923,0.50834,6.6938,16.6644,-99.4907,4.7423,155.5342,-98.4715,0,90,-90,-4.9696e-17,90.4511,0,-3.1806e-15,180,0,-4.9696e-17,90.916,0,7.4031,2.2425,91.118,1.2247,-118.0965,100.2511,9.9392e-17,-180,0,-4.9696e-17,-90.4511,0,-3.1806e-15,-180,0,2.4848e-16,-85.4315,0,
4.1,15.2002,16.654,-2.6319,8.4357,-1.4859,0.55746,6.5765,16.5902,-99.5119,4.7132,155.644,-98.504,0,-90,-90,0,180,0,0,-90,0,5.9635e-16,-67.7955,0,7.5047,1.9938,91.1235,1.3,-119.3862,100.3392,-9.9392e-17,0,0,0,180,0,0,90,0,1.9878e-16,82.261,0,
4.2,14.137,21.2946,-2.1652,8.401,-1.3458,0.55079,6.5241,16.0745,-99.6119,4.7228,156.0505,-98.3374,0,90,-90,2.4848e-17,0,0,3.2054e-15,44.7771,0,-9.9392e-16,-166.0586,0,7.5237,2.001,91.0863,1.3386,-120.2353,100.4578,1.9878e-16,-116.5651,0,0,90,0,3.2054e-15,-44.7771,0,-1.2921e-15,169.1269,0,
4.3,13.2733,22.4894,-2.1304,8.4169,-1.1775,0.47446,6.4997,15.3558,-99.5248,4.763,155.9266,-98.2402,0,-90,-90,6.3363e-15,45.1121,0,0,90,0,1.6151e-15,-48.7533,0,7.4499,2.1889,90.8787,1.3232,-119.3641,100.4104,4.2242e-16,-180,0,6.3363e-15,-45.1121,0,2.4848e-17,-89.5593,0,1.0312e-15,60.7931,0,
4.4,12.6811,23.4431,-2.3191,8.5171,-1.1339,0.41156,6.5917,14.7897,-99.5224,4.7859,155.1795,-98.2711,0,-90,-90,-6.3735e-15,-179.5533,0,-3.193e-15,179.1083,0,1.0623e-15,83.2506,0,7.3309,2.1756,90.8072,1.2106,-117.1443,100.2307,2.4848e-16,122.0054,0,-6.3735e-15,179.5533,0,-3.193e-15,-179.1083,0,1.0374e-15,-79.8504,0,
4.5,12.2456,24.8497,-2.4289,8.5462,-0.98113,0.33722,6.5739,14.7159,-99.5881,4.8267,155.212,-98.2596,0,-90,-90,3.106e-18,89.972,0,3.1774e-15,0,0,-7.9203e-16,-110.1254,0,7.3786,2.5054,90.8487,1.191,-117.2542,100.266,-4.9696e-17,0,0,3.106e-18,-89.972,0,3.1774e-15,0,0,-1.1151e-15,117.2681,0,
4.6,11.9575,25.4103,-2.5054,8.5783,-0.60684,0.2666,6.5173,14.1488,-99.6531,4.7761,156.0712,-98.2331,0,90,-90,6.3611e-15,44.7753,0,-1.2424e-17,90.2238,0,3.7272e-17,88.3478,0,7.7379,3.0477,90.9826,1.3195,-119.4194,100.4197,-1.8015e-16,0,0,6.386e-15,-45.1113,0,1.2424e-17,-89.7762,0,1.3666e-16,-83.9657,0,
4.7,12.3761,25.2763,-2.8083,8.6205,-0.32058,0.23548,6.5228,13.2752,-99.4714,4.7302,156.4147,-98.1645,3.9757e-16,159.444,-90,6.3238e-15,45.1684,0,-4.9696e-17,90.9094,0,-3.603e-16,94.3087,0,8.1251,3.2752,91.1718,1.4463,-121.7612,100.5499,1.9878e-16,104.0362,0,6.3238e-15,-44.9437,0,1.2424e-17,-89.7762,0,1.7394e-16,-89.106,0,
4.8,12.3127,25.9845,-3.1325,8.6537,-0.38083,0.25482,6.6682,12.6603,-99.5091,4.8715,154.5514,-98.2592,3.9757e-16,-122.6192,-90,6.386e-15,-44.8883,0,3.1557e-15,0,0,-6.709e-16,99.4226,0,8.1655,3.3667,91.348,1.4693,-122.3403,100.6746,9.9392e-17,-180,0,6.386e-15,44.8883,0,3.1557e-15,0,0,-1.1679e-15,-106.1264,0,
4.9,12.2087,25.0434,-3.7154,8.6446,-0.46763,0.26983,6.7776,12.5152,-99.4156,4.8598,154.3599,-98.2286,-3.9757e-16,-39.0939,-90,-6.4108e-15,135.2229,0,-3.2303e-15,180,0,4.4727e-16,-60.1569,0,8.0699,2.9333,91.2123,1.3739,-120.7012,100.5718,4.9696e-17,97.125,0,-6.4108e-15,-135.2229,0,-3.2303e-15,-180,0,8.9453e-16,40.9598,0,
5,13.947,17.5987,-5.3099,8.5609,-0.61702,0.24482,6.7567,13.1066,-99.3702,4.6895,154.3195,-98.3022,0,-90,-90,6.3611e-15,-45,0,0,0,0,2.5842e-15,12.5771,0,7.9122,2.4826,91.0044,1.3169,-119.502,100.4296,-2.4848e-17,0,0,6.3611e-15,45,0,3.2799e-15,0.86805,0,-9.9392e-17,-99.7169,0,
5.1,16.6126,6.4315,-6.6513,8.43,-0.86367,0.19455,6.9322,13.5507,-99.4877,4.5766,154.0917,-98.2978,3.9757e-16,165.9638,-90,6.4605e-15,0,0,0,90,0,1.4412e-15,-48.0304,0,7.7794,2.46,90.9917,1.3421,-119.8842,100.3324,3.7272e-17,95.3558,0,6.4605e-15,0,0,0,-90,0,1.1927e-15,-52.8938,0,
5.2,18.1257,-1.7768,-6.82,8.3835,-0.988,0.15366,7.2144,13.9735,-99.386,4.7595,153.2041,-98.2446,0,0,-90,0,-90,0,0,-90,0,1.1927e-15,77.6588,0,7.7666,2.384,91.0233,1.3851,-120.9536,100.3642,4.4727e-16,-138.3665,0,-4.9696e-17,90.4476,0,-9.9392e-17,91.7899,0,1.3915e-15,-75.6848,0,
5.3,18.5466,-5.8288,-6.654,8.4131,-1.0821,0.22439,7.1795,16.2412,-99.6154,6.1498,148.8309,-99.1243,-1.5903e-15,8.8807,-90,0,-90,0,0,-90,0,-1.5406e-15,-110.1909,0,7.7911,1.9114,90.9417,1.4085,-120.9213,100.3297,9.9392e-17,-180,0,0,90,0,0,90,0,-1.64e-15,111.3772,0,
5.4,18.2598,-7.432,-6.5189,8.5495,-1.3183,0.41165,6.7979,28.3621,-100.7303,11.4843,144.2132,-101.7991,0,90,-90,0,90,0,0,90,0,1.7891e-15,-78.2963,0,7.872,1.0777,90.7557,1.3731,-119.7475,100.2508,1.2424e-16,-180,0,4.9696e-17,-89.5626,0,4.9696e-17,-89.1449,0,1.4909e-15,56.7904,0,
5.5,18.0022,-8.6781,-6.24,8.6847,-1.5725,0.5784,6.9832,42.3201,-101.3134,20.7366,144.3922,-105.3547,-9.5417e-15,-2.3859,-90,6.3611e-15,-0.44761,0,-4.9696e-17,90.8952,0,1.2921e-15,-26.3995,0,7.882,0.99653,90.7874,1.324,-118.8691,100.267,-2.4848e-16,-57.9946,0,6.3611e-15,0.44761,0,-4.9696e-17,-90.8952,0,1.4909e-15,23.2274,0,
5.6,17.578,-10.234,-5.7841,8.7941,-1.718,0.70183,8.1294,51.1268,-101.7153,32.2906,146.1472,-109.7266,0,0,-90,0,-90,0,3.2303e-15,44.5559,0,-7.9514e-16,97.1954,0,8.081,0.90307,90.7635,1.3252,-119.1337,100.3603,1.1182e-16,105.7086,0,0,90,0,3.1806e-15,-45.4441,0,-6.9575e-16,-96.3034,0,
